query_id,query_text,tau,k,traditional_recall,semantic_recall,tolerant_recall,semantic_uplift_internal,semantic_uplift_qrel,n_semantic_neighbors,tolerance_pct_used
1,what is the origin of COVID-19,0.4,10,0.5,0.3333333333333333,1.0,0.5,0.8,3,1.50523062493381
1,what is the origin of COVID-19,0.5,10,0.5,0.3333333333333333,1.0,0.5,0.8,3,1.50523062493381
1,what is the origin of COVID-19,0.55,10,0.5,0.3333333333333333,1.0,0.5,0.8,3,1.50523062493381
1,what is the origin of COVID-19,0.6,10,0.5,0.3333333333333333,1.0,0.5,0.8,3,1.50523062493381
1,what is the origin of COVID-19,0.65,10,0.5,0.3333333333333333,1.0,0.5,0.8,3,1.50523062493381
1,what is the origin of COVID-19,0.7,10,0.5,0.3333333333333333,1.0,0.5,0.8,3,1.50523062493381
1,what is the origin of COVID-19,0.8,10,0.7,0.6666666666666666,0.9,0.20000000000000007,0.7,3,1.50523062493381
1,what is the origin of COVID-19,1.0,10,1.0,1.0,1.0,0.0,0.9,3,1.50523062493381
10,has social distancing had an impact on slowing the spread of COVID-19?,0.4,10,0.3,1.0,1.0,0.7,0.9,3,2.5754786313116704
10,has social distancing had an impact on slowing the spread of COVID-19?,0.5,10,0.5,1.0,1.0,0.5,0.8,3,2.5754786313116704
10,has social distancing had an impact on slowing the spread of COVID-19?,0.55,10,0.6,1.0,1.0,0.4,0.9,3,2.5754786313116704
10,has social distancing had an impact on slowing the spread of COVID-19?,0.6,10,0.8,1.0,1.0,0.19999999999999996,0.9,3,2.5754786313116704
10,has social distancing had an impact on slowing the spread of COVID-19?,0.65,10,0.9,1.0,1.0,0.09999999999999998,0.9,3,2.5754786313116704
10,has social distancing had an impact on slowing the spread of COVID-19?,0.7,10,0.9,1.0,1.0,0.09999999999999998,0.9,3,2.5754786313116704
10,has social distancing had an impact on slowing the spread of COVID-19?,0.8,10,0.9,1.0,1.0,0.09999999999999998,0.9,3,2.5754786313116704
10,has social distancing had an impact on slowing the spread of COVID-19?,1.0,10,1.0,1.0,1.0,0.0,0.8,3,2.5754786313116704
